"MIT/ast-finetuned-audioset-10-10-0.4593",523957253
"google-bert/bert-base-uncased",61886790
"openai/clip-vit-large-patch14",45689576
"sentence-transformers/all-MiniLM-L6-v2",32025916
"laion/CLIP-ViT-B-32-laion2B-s34B-b79K",29493699
"distilbert/distilbert-base-uncased",21089279
"jonatasgrosman/wav2vec2-large-xlsr-53-english",20993632
"openai/clip-vit-base-patch32",16793115
"sentence-transformers/all-mpnet-base-v2",16136503
"openai/clip-vit-base-patch16",14244350
"nomic-ai/nomic-embed-text-v1.5",13913788
"jonatasgrosman/wav2vec2-large-xlsr-53-arabic",12201610
"FacebookAI/roberta-large",11967731
"timm/resnet50.a1_in1k",11812770
"google/vit-base-patch16-224-in21k",10989541
"pyannote/segmentation-3.0",10251514
"FacebookAI/roberta-base",10216093
"openai-community/gpt2",9752368
"CompVis/stable-diffusion-safety-checker",9176869
"google/vit-base-patch16-224",8972395
"FacebookAI/xlm-roberta-large",8767180
"facebook/contriever",8550182
"openai/clip-vit-large-patch14-336",7705317
"pyannote/wespeaker-voxceleb-resnet34-LM",7051953
"colbert-ir/colbertv2.0",6949484
"Qwen/Qwen-VL-Chat",6744109
"stabilityai/stable-diffusion-xl-base-1.0",6597600
"M-CLIP/XLM-Roberta-Large-Vit-B-32",6484219
"FacebookAI/xlm-roberta-base",6275516
"distilbert/distilbert-base-uncased-finetuned-sst-2-english",6083530
"pyannote/speaker-diarization-3.1",5898526
"google-t5/t5-small",5571598
"sentence-transformers/all-MiniLM-L12-v2",5459966
"wukevin/tcr-bert",5334354
"kresnik/wav2vec2-large-xlsr-korean",5203155
"google-bert/bert-base-multilingual-cased",5202071
"microsoft/deberta-base",5156005
"allenai/longformer-base-4096",5113512
"google-bert/bert-base-cased",4764817
"runwayml/stable-diffusion-v1-5",4527934
"google-t5/t5-base",4476653
"mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis",4456843
"pyannote/segmentation",4449224
"facebook/bart-large-cnn",4022246
"pyannote/speaker-diarization",3906779
"google/electra-base-discriminator",3794385
"jonatasgrosman/wav2vec2-large-xlsr-53-portuguese",3718548
"laion/CLIP-ViT-H-14-laion2B-s32B-b79K",3668695
"Supabase/gte-small",3650566
"facebook/opt-125m",3642019
"distilbert/distilgpt2",3410026
"llava-hf/llava-v1.6-mistral-7b-hf",3348316
"almanach/camembert-base",3333206
"jonatasgrosman/wav2vec2-large-xlsr-53-russian",3247674
"jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn",3171952
"laion/CLIP-ViT-B-16-laion2B-s34B-b88K",3044172
"cardiffnlp/twitter-roberta-base-sentiment-latest",3000550
"jonatasgrosman/wav2vec2-large-xlsr-53-japanese",2932944
"facebook/bart-large-mnli",2924377
"YituTech/conv-bert-base",2878862
"tner/roberta-large-ontonotes5",2876496
"google/fnet-base",2871344
"openai/whisper-large-v3",2867138
"CIDAS/clipseg-rd64-refined",2860923
"facebook/wav2vec2-base-960h",2860446
"google-bert/bert-large-uncased",2773753
"microsoft/layoutlmv2-base-uncased",2761539
"distilbert/distilroberta-base",2637747
"meta-llama/Meta-Llama-3-8B-Instruct",2619598
"facebook/dinov2-base",2600932
"microsoft/layoutlmv3-base",2590857
"WinKawaks/vit-tiny-patch16-224",2528523
"sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2",2374819
"google-bert/bert-base-chinese",2345044
"microsoft/deberta-v3-base",2342461
"sentence-transformers/distilbert-base-nli-mean-tokens",2307884
"google/byt5-small",2287398
"nlpconnect/vit-gpt2-image-captioning",2235832
"microsoft/trocr-base-handwritten",2184969
"lxyuan/distilbert-base-multilingual-cased-sentiments-student",2154556
"albert/albert-base-v2",2143586
"timm/mobilenetv3_large_100.ra_in1k",2125774
"BAAI/bge-base-en-v1.5",2117746
"stabilityai/sdxl-turbo",2111005
"facebook/encodec_24khz",2046703
"sentence-transformers/multi-qa-MiniLM-L6-cos-v1",1980070
"EmergentMethods/gliner_medium_news-v2.1",1957444
"sentence-transformers/distiluse-base-multilingual-cased-v2",1898429
"sentence-transformers/paraphrase-MiniLM-L6-v2",1880077
"Helsinki-NLP/opus-mt-zh-en",1832040
"BAAI/bge-small-en-v1.5",1807518
"mistralai/Mistral-7B-Instruct-v0.2",1741437
"SamLowe/roberta-base-go_emotions",1727578
"sentence-transformers/bert-base-nli-mean-tokens",1726241
"microsoft/beit-base-patch16-224-pt22k-ft22k",1688359
"google/flan-t5-base",1626790
"openai/whisper-base",1614746
"mixedbread-ai/mxbai-embed-large-v1",1602955
"cardiffnlp/twitter-roberta-base-irony",1577720
"tomh/toxigen_roberta",1559617
"cambridgeltl/SapBERT-from-PubMedBERT-fulltext",1539873
"cross-encoder/nli-roberta-base",1515977
